SampleID	Env	SourceSink	id
haib17CEM5106_HCVMTCCXY_SL269525	stairwell_railing	Sink	1
haib17CEM5106_HCY5JCCXY_SL269525	stairwell_railing	Sink	2
haib17CEM5106_HCVMTCCXY_SL269548	stairwell_railing	Sink	3
haib17CEM5106_HCY5JCCXY_SL269548	stairwell_railing	Sink	4
haib17CEM5106_HCVMTCCXY_SL269557	stairwell_railing	Sink	5
haib17CEM5106_HCY5JCCXY_SL269557	stairwell_railing	Sink	6
haib17CEM5106_HCVMTCCXY_SL269562	stairwell_railing	Sink	7
haib17CEM5106_HCY5JCCXY_SL269562	stairwell_railing	Sink	8
haib17CEM5106_HCVMTCCXY_SL269578	stairwell_railing	Sink	9
haib17CEM5106_HCY5JCCXY_SL269578	stairwell_railing	Sink	10
haib17CEM5106_HCVMTCCXY_SL269580	stairwell_railing	Sink	11
haib17CEM5106_HCY5JCCXY_SL269580	stairwell_railing	Sink	12
haib17CEM5106_HCVMTCCXY_SL269582	stairwell_railing	Sink	13
haib17CEM5106_HCY5JCCXY_SL269582	stairwell_railing	Sink	14
haib17CEM5106_HCVMTCCXY_SL269586	stairwell_railing	Sink	15
haib17CEM5106_HCY5JCCXY_SL269586	stairwell_railing	Sink	16
haib17CEM5106_HCVMTCCXY_SL269592	stairwell_railing	Sink	17
haib17CEM5106_HCY5JCCXY_SL269592	stairwell_railing	Sink	18
haib17CEM5106_HCVMTCCXY_SL269595	stairwell_railing	Sink	19
haib17CEM5106_HCY5JCCXY_SL269595	stairwell_railing	Sink	20
haib17CEM5106_HCVMTCCXY_SL269596	stairwell_railing	Sink	21
haib17CEM5106_HCY5JCCXY_SL269596	stairwell_railing	Sink	22
haib17CEM5106_HCVMTCCXY_SL269602	stairwell_railing	Sink	23
haib17CEM5106_HCY5JCCXY_SL269602	stairwell_railing	Sink	24
haib17CEM5106_HCVMTCCXY_SL269605	stairwell_railing	Sink	25
haib17CEM5106_HCY5JCCXY_SL269605	stairwell_railing	Sink	26
haib17CEM5106_HCVMTCCXY_SL269608	stairwell_railing	Sink	27
haib17CEM5106_HCY5JCCXY_SL269608	stairwell_railing	Sink	28
haib17CEM5106_HCV72CCXY_SL269720	stairwell_railing	Sink	29
haib17CEM5106_HCV72CCXY_SL269725	stairwell_railing	Sink	30
haib17CEM5106_HCV72CCXY_SL269731	stairwell_railing	Sink	31
haib17CEM5106_HCV72CCXY_SL269742	stairwell_railing	Sink	32
haib17CEM5106_HCV72CCXY_SL269749	stairwell_railing	Sink	33
haib17CEM5106_HCV72CCXY_SL269750	stairwell_railing	Sink	34
haib17CEM5106_HCV72CCXY_SL269753	stairwell_railing	Sink	35
haib17CEM5106_HCV72CCXY_SL269757	stairwell_railing	Sink	36
haib17CEM5106_HCV72CCXY_SL269758	stairwell_railing	Sink	37
haib17CEM5106_HCV72CCXY_SL269759	stairwell_railing	Sink	38
haib17CEM5106_HCV72CCXY_SL269777	stairwell_railing	Sink	39
haib17CEM5106_HCV72CCXY_SL269779	stairwell_railing	Sink	40
haib17CEM5106_HCV72CCXY_SL269782	stairwell_railing	Sink	41
haib17CEM5106_HCV72CCXY_SL269787	stairwell_railing	Sink	42
haib17CEM5106_HCV72CCXY_SL269803	stairwell_railing	Sink	43
haib17DB4959_H3MGVCCXY_SL259835	bench	Source	
haib17DB4959_H3MGVCCXY_SL259847	bench	Source	
haib17DB4959_HTWH2CCXY_SL363886	bench	Source	
haib17DB4959_H3MGVCCXY_SL259825	bench	Source	
